Customer_ID,Month,Region,Industry,Segment,Revenue_USD,Active_Users,Support_Tickets,Renewal_Status,Churn_Probability
CUST-0001,2024-08,North America,Pharma,Mid-Market,39839,231,1,Renewed,0.97
CUST-0001,2024-09,North America,Pharma,Mid-Market,11061,425,19,Lost,0.3
CUST-0001,2024-10,North America,Pharma,Mid-Market,22324,491,4,Renewed,0.62
CUST-0001,2024-11,North America,Pharma,Mid-Market,36243,233,16,Lost,0.17
CUST-0001,2024-12,North America,Pharma,Mid-Market,24202,324,18,At Risk,0.27
CUST-0001,2025-01,North America,Pharma,Mid-Market,25777,39,6,Renewed,0.09
CUST-0001,2025-02,North America,Pharma,Mid-Market,19874,331,19,Renewed,0.86
CUST-0001,2025-03,North America,Pharma,Mid-Market,19452,170,11,Renewed,0.49
CUST-0001,2025-04,North America,Pharma,Mid-Market,43735,204,19,Renewed,0.53
CUST-0001,2025-05,North America,Pharma,Mid-Market,10900,292,4,Renewed,0.32
CUST-0001,2025-06,North America,Pharma,Mid-Market,42287,403,6,Renewed,0.36
CUST-0001,2025-07,North America,Pharma,Mid-Market,16660,10,1,Renewed,0.46
CUST-0001,2025-08,North America,Pharma,Mid-Market,24343,280,0,Renewed,0.12
CUST-0002,2024-07,North America,High-Tech,Mid-Market,34034,454,12,Renewed,0.16
CUST-0002,2024-08,North America,High-Tech,Mid-Market,20372,101,9,Lost,0.16
CUST-0002,2024-09,North America,High-Tech,Mid-Market,47760,260,8,At Risk,0.37
CUST-0002,2024-10,North America,High-Tech,Mid-Market,27590,298,17,Renewed,0.18
CUST-0002,2024-11,North America,High-Tech,Mid-Market,14224,407,10,Renewed,0.24
CUST-0002,2024-12,North America,High-Tech,Mid-Market,21558,338,8,Renewed,0.2
CUST-0002,2025-01,North America,High-Tech,Mid-Market,45951,73,4,Renewed,0.91
CUST-0002,2025-02,North America,High-Tech,Mid-Market,15990,482,6,At Risk,0.17
CUST-0002,2025-03,North America,High-Tech,Mid-Market,47009,146,9,Lost,0.93
CUST-0002,2025-04,North America,High-Tech,Mid-Market,37396,400,18,At Risk,0.33
CUST-0002,2025-05,North America,High-Tech,Mid-Market,5805,489,4,At Risk,0.19
CUST-0002,2025-06,North America,High-Tech,Mid-Market,27838,106,9,Renewed,0.37
CUST-0002,2025-07,North America,High-Tech,Mid-Market,44670,377,12,Renewed,0.48
CUST-0002,2025-08,North America,High-Tech,Mid-Market,41046,446,0,Renewed,0.08
CUST-0003,2024-09,APAC,High-Tech,Mid-Market,21189,418,13,Renewed,0.16
CUST-0003,2024-10,APAC,High-Tech,Mid-Market,21359,471,6,Renewed,0.4
CUST-0003,2024-11,APAC,High-Tech,Mid-Market,9966,288,4,Renewed,0.91
